id,followers,genres,popularity,name,type,album_names,release_dates,total_tracks
6RCI4WXRwG9jnRHZgzBYFr,53653,"['bedroom soul', 'lo-fi rap']",37,Manwolves,artist,"['3rd Dog', 'Sleeping In (Live at Treehouse)', 'Sleeping In', 'A Safety Meeting']","['2023-04-07', '2021-08-26', '2021-07-14', '2018-09-14']",38
4PPoI9LuYeFX8V674Z1R6l,9718492,"['mariachi', 'ranchera']",74,Vicente Fernández,artist,"['Vicente Fernández Le Canta a los Grandes Compositores de México', ""A Mis 80's"", 'Más Romántico Que Nunca', 'Un Azteca en el Azteca, Vol. 2 (En Vivo)', 'Un Azteca en el Azteca, Vol. 1 (En Vivo)', 'Un Azteca en el Azteca (En Vivo)', 'Muriendo de Amor', 'Mano a Mano - Tangos a la Manera de Vicente Fernández', 'Vicente Fernández Hoy', 'Los 2 Vicentes', 'Vicente Fernández Y Sus Corridos Consentidos', 'Otra Vez', '15 Nuevos Éxitos Con el Ídolo de México', 'Vicente Fernandez Y Sus Canciones', 'Un Mexicano en la México', 'El Hombre Que Más Te Amo', 'Un Mexicano En La México - Vicente Fernández', 'Superpistas - Canta Como Vicente Fernandez Vol. 5', 'Pistas Para Que Cantes Exitos de Antonio Aguilar y Vicente Fernandez', 'Primera Fila', 'Necesito De Ti', 'Vicente Fernandez Para Siempre', 'Vicente Fernandez La Tragedia del Vaquero', 'Vicente Fernandez La Leyenda Viviente (Digi-Pack)', 'Mis Duetos', 'Se me hizo tarde la Vida', 'Vicente Fernández 35 aniversario lo mejor de Lara', 'Historia De Un Idolo Vol.II', 'Más Con El Número Uno', 'La Historia De Un Idolo', 'Lobo Herido', 'Entre El Amor Y Yo', 'Estatua De Marfil', 'Aunque Me Duela El Alma', 'Vicente Fernandez Recordando a los Panchos', 'Motivos Del Alma', 'Vicente Fernández', 'A Tu Salud', 'Mi Amigo El Tordillo', 'Lastima Que Seas Ajena', 'Mi Historia', 'Que De Raro Tiene', 'El Charro Mexicano', 'La Muerte De Un Gallero', 'Mientras Ustedes No Dejen De Aplaudir...', 'Y Las Clasicas De José Alfredo Jiménez', 'Dos Corazones', 'De Un Rancho A Otro', 'Por Tu Maldito Amor', 'Hoy Platique Con Mi Gallo']","['2023-08-11', '2020-12-04', '2018-08-10', '2016-09-09', '2016-09-09', '2016-09-02', '2015-10-09', '2014-04-29', '2013-05-07', '2012-09-11', '2012-04-13', '2011-11-21', '2011-11-16', '2011-11-01', '2010-12-01', '2010-10-05', '2010-06-22', '2009-04-17', '2009-04-08', '2009-03-14', '2009', '2007-08-26', '2006-11-14', '2006-06-30', '2005-11-15', '2003', '2002-11-12', '2002-03-22', '2001-11-29', '2000-10-18', '2000-03-24', '1998-05-26', '1997-07-02', '1995', '1994-07-15', '1994', '1993-12-13', '1993-12-02', '1993', '1993', '1992-11-27', '1992', '1991-08-20', '1991', '1990-11-27', '1990-06-12', '1990', '1990', '1989-09-09', '1986-11-29']",723
0hF6lbAjRsq4svrQUr5sgU,174124,['new york drill'],65,Kyle Richh,artist,['Everything Dead (Deluxe)'],['2021-08-30'],7
5M0lbkGluOPXLeFjApw8r8,843145,"['pop rap', 'trap', 'underground hip hop', 'viral trap', 'virginia hip hop']",56,DRAM,artist,"['What Had Happened Was… (Deluxe Edition)', 'What Had Happened Was… (Live)', 'What Had Happened Was…', 'Shelley FKA DRAM', 'Big Baby DRAM (Deluxe)', 'Big Baby DRAM', 'Gahdamn!', '#1EpicEP']","['2023-04-20', '2023-03-23', '2022-11-10', '2021-04-30', '2017-12-01', '2016-10-21', '2015-10-23', '2015-03-03']",120
5nFC90nqw5qD3x5sjzETy9,41259,[],40,Ebenezer San Francisco,artist,"['Intimidad', 'Venga Mi Amado a Su Huerto', 'Ante el Rey', 'Renacer (En Vivo)', 'Eternal Jubile', 'Bajo Tus Alas (Edición Oro)', 'Mujeres de Poder', 'Unídos en el Altar 2', 'Camino Voy a Canaán', 'Lanzamiento', 'Nuestra Victoria', 'Por la Espada de Jehová', 'De Gloria en Gloria']","['2022-04-15', '2020-07-17', '2020-06-30', '2019-09-27', '2018-08-13', '2016-08-30', '2015-08-15', '2014-08-15', '2014-06-30', '2012-08-15', '2012-03-31', '2009-12-21', '2009-01-03']",172
3JhNCzhSMTxs9WLGJJxWOY,2125285,"['pop rap', 'seattle hip hop']",75,Macklemore,artist,"['BEN', 'GEMINI', ""This Unruly Mess I've Made"", 'The Heist (Deluxe Edition)', 'The Heist', 'The Language of My World']","['2023-03-03', '2017-09-22', '2016-02-26', '2012-10-09', '2012-10-09', '2005-01-01']",97
1gh8GYfxnY6D9nXPQ1Pb6g,21584,"['lo-fi chill', 'sad lo-fi']",37,Vorsa,artist,['anywhere else but here.'],['2020-09-24'],10
3dbSL43i8580GLWJRknu9w,9064,"['bubblegrunge', 'small room']",25,thanks for coming,artist,"['What is My Capacity to Love?', ""You Haven't Missed Much"", 'Rachel Jr.', '#1 Flake in North America', 'to be honest, i was lying', 'no problem (remastered)', 'adding up', 'missing out', 'no problem', 'welcome to the post-dadcore revolution']","['2023-09-29', '2022-12-12', '2021-12-31', '2021-09-30', '2020-11-27', '2020-04-24', '2020-02-27', '2017-08-25', '2017', '2016']",129
4oUHIQIBe0LHzYfvXNW4QM,7529357,['contemporary country'],85,Morgan Wallen,artist,"['One Thing At A Time', 'Dangerous: The Double Album (Bonus)', 'Dangerous: The Double Album', 'If I Know Me']","['2023-03-03', '2021-01-29', '2021-01-08', '2018-04-27']",113
2jnIB6XdLvnJUeNTy5A0J2,3666399,"['boy band', 'pop']",65,Why Don't We,artist,"['The Good Times and The Bad Ones', '8 Letters']","['2021-01-15', '2018-08-31']",18
0ys2OFYzWYB5hRDLCsBqxt,5550860,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",85,Fuerza Regida,artist,"[""Pa las Baby's Y Belikeada"", 'Pa Que Hablen', 'Sigan Hablando', 'Del Barrio Hasta Aquí, Vol. 2', 'Pisteando Con La Regida (Vol. 3)', 'Navidad Con La Regida', 'Otro Pedo, Otro Mundo', 'Adicto', 'Pisteando Con La Regida Vol. 2', 'Pisteando Con La Regida', 'Del Barrio Hasta Aquí', 'En Vivo Puros Corridos']","['2023-10-20', '2022-12-30', '2022-12-28', '2021-12-31', '2020-12-22', '2020-12-01', '2020-09-25', '2020-04-10', '2020-01-31', '2019-12-13', '2019-07-04', '2018-07-20']",160
5ng3zK89O4P9BHqLFwkcXn,4000,[],46,bsd.u,artist,"['late night bumps, Vol. 4', 'Late Night Bumps, Vol. 3', 'Late Night Bumps, Vol. 2', 'A Sad Kind of Bliss']","['2017-12-01', '2017-11-30', '2017-11-29', '2016-12-02']",39
58PoZ2UB30eX8jppZ6B87i,1616,['sleep'],50,Sohn Aelia,artist,[],[],0
0Q6X1jqwOVQuclYp2P1bub,74232,"['bergen indie', 'norske viser']",35,Sondre Lerche,artist,"['Understudy', 'Avatars Of The Night', 'Avatars Of Love', 'Patience Deluxe', 'Patience', 'Solo Pleasure', 'Pleasure', 'Please', 'The Sleepwalker (Original Motion Picture Soundtrack)', 'Bootlegs (Live)', 'Sondre Lerche', 'Heartbeat Radio', 'Phantom Punch', 'Duper Sessions', 'Two Way Monologue', ""Don't Be Shallow"", 'Faces Down']","['2023-10-20', '2023-03-31', '2022-04-01', '2020-10-23', '2020-06-05', '2018-02-14', '2017-03-03', '2014-09-12', '2014-01-14', '2012-09-04', '2011-05-30', '2009-01-01', '2007-02-19', '2006-02-27', '2004-02-09', '2003-09-19', '2001-09-03']",230
6BUWDIxZED9ka2CRioDENa,8248,[],14,Dunisco,artist,[],[],0
3Aa8vv6PuVakY8yP8tpi2X,1887,['la pop'],24,MarcLo,artist,"['Premonitions', 'Nostalgia']","['2020-10-15', '2017-09-28']",14
1cZQSpDsxgKIX2yW5OR9Ot,374662,"['alt z', 'canadian pop', 'uk pop']",60,Lennon Stella,artist,['Three. Two. One.'],['2020-04-24'],13
62ggJuZV87VvP3sAHM0V3K,102012,['canadian folk'],46,Jonathan Roy,artist,"['Life Distortions', 'My Lullaby', 'Mr. Optimist Blues', 'La route']","['2023-02-03', '2021-05-28', '2017-01-20', '2011-09-13']",36
6zB02lwP6L6ZH32nggQiJT,415369,"['comic', 'geek rock', 'permanent wave', 'zolo']",53,They Might Be Giants,artist,"['BOOK', 'I Like Fun', 'Phone Power', 'Glean', 'Idlewild: A Compilation', 'At Large', 'Nanobots', 'Album Raises New and Troubling Questions', 'Join Us', 'Cast Your Pod to the Wind', 'The Else', 'Venue Songs', 'The Spine Surfs Alone', 'The Spine', 'They Got Lost', 'Mink Car', 'Working Undercover for the Man', 'Long Tall Weekend', 'Severe Tire Damage', 'Then: The Earlier Years', 'Factory Showroom', 'John Henry', 'Apollo 18', 'Miscellaneous T', 'Flood', 'Lincoln', 'They Might Be Giants']","['2021-11-12', '2018-01-19', '2016-03-18', '2015-04-21', '2014-05-27', '2013-04-30', '2013-03-05', '2011-10-28', '2011-07-19', '2007-07-10', '2007-05-15', '2005-11-11', '2004-07-13', '2004-07-13', '2002', '2001', '2000', '1999-07-19', '1998', '1997-03-25', '1996-10-08', '1994-08-23', '1992-03-24', '1991-10-08', '1990-01-02', '1988', '1986-11-04']",544
1zj0nZIQrUmBXtnxQPVHYZ,128,[],45,Julius Cuvier,artist,[],[],0
04xEkodoWyFji8icX911jM,86003,"['korean electropop', 'korean r&b']",43,Miso,artist,['Raw Gems Vol.1'],['2022-12-16'],16
3Xt3RrJMFv5SZkCfUE8C1J,999192,"['alt z', 'pop', 'transpop']",72,Kim Petras,artist,"['Problématique', 'Feed The Beast', 'Slut Pop', 'TURN OFF THE LIGHT', 'Clarity', 'TURN OFF THE LIGHT, VOL. 1']","['2023-09-18', '2023-06-23', '2022-02-11', '2020-10-23', '2019-06-28', '2018-10-01']",70
5Lhxlge1CR1DrgDAje8Qaw,203210,['vapor soul'],55,NoMBe,artist,"['CHROMATOPIA (Versions)', ""They Might've Even Loved Me (Versions)"", 'CHROMATOPIA', ""They Might've Even Loved Me (Re:Imagination)"", ""They Might've Even Loved Me""]","['2023-10-27', '2023-10-13', '2021-05-07', '2019-03-06', '2018-03-23']",79
7ey9WAjB2KrhzdmzvXR4mR,7631,[],30,Clans,artist,"['sunny boy', 'Wherefore Art Thou Bromeo?', 'Chapter One', 'Demolicious']","['2021-01-15', '2020-08-31', '2020-01-15', '2019-12-24']",43
7ia9Mj4e6Te5oJwgjM29g5,2630,[],9,LE SINNER,artist,[],[],0
173wMRubTW7g208ZRpzFpu,13209,"['electro-pop francais', 'new french touch']",37,Seth XVI,artist,['Nice Boy'],['2020-11-12'],7
5p119sPXEyp2exxbpInGqL,33146,[],32,Slow Joy,artist,[],[],0
