,title,artist,url
34,All Time Low,JON BELLION,https://open.spotify.com/track/5wQRNkb7OhzJoT1P0OZ4Rw
92,I Knew You Were Waiting (For Me),"GEORGE MICHAEL, ARETHA FRANKLIN",https://open.spotify.com/track/0f6pHbsLzpWxl5CfhOUjBA
404,Careless Whisper,GEORGE MICHAEL,https://open.spotify.com/track/6KsgCYcZKPcBRDNGhiZWRR
402,Moves,BIG SEAN,https://open.spotify.com/track/6Kd4EPrY9A4WBUFy5JaqEc
437,Bad and Boujee (feat. Lil Uzi Vert),MIGOS,https://open.spotify.com/track/1FvU97lrWOG2NRxErh6OZz
652,Romantic - NOTD Remix,STANAJ,https://open.spotify.com/track/1pvgpkMqtQyOGePdYOTt9U
884,Caroline,AMINÉ,https://open.spotify.com/track/5hTpBe8h35rJ67eAWHQsJx
854,Romantic - NOTD Remix,STANAJ,https://open.spotify.com/track/2yNM18IhYDt3UWcKtHNIMZ
1124,Rooting For You,LONDON GRAMMAR,https://open.spotify.com/track/5MHmD8cfTbudNLTWYA5QHJ
1045,Lot to Learn,LUKE CHRISTOPHER,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW
1054,All Night,"THE VAMPS, MATOMA",https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
995,Caroline,AMINÉ,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
1103,Now and Later,SAGE THE GEMINI,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
1459,Light,SAN HOLO,https://open.spotify.com/track/74Ru27B7Jx8mBt5MGvGLLv
1938,Throw Myself A Party,"CASHMERE CAT, STARRAH, 2 CHAINZ, TORY LANEZ",https://open.spotify.com/track/5n6PtOoeGzBeKFDeGNozLd
2040,Castle on the Hill,ED SHEERAN,https://open.spotify.com/track/66qlqxhEMpSHOzjRK4il0b
2046,Say Something Loving,THE XX,https://open.spotify.com/track/1lIrmWLhL9ivA9nYbpDWBv
2014,Shape of You,ED SHEERAN,https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X
2016,So Close,ANDREW MCMAHON IN THE WILDERNESS,https://open.spotify.com/track/7w7yweCmUTBeP6KSyYOSvC
2423,Drinkin' Too Much,SAM HUNT,https://open.spotify.com/track/2sUKv0BT5iyyPvdMrZ1LmD
2427,So Close,ANDREW MCMAHON IN THE WILDERNESS,https://open.spotify.com/track/7LS0yyJRMdH608s7o9fcyv
2265,Open,SAN FERMIN,https://open.spotify.com/track/6Y4RNg1iKKlf3hnag51WzA
3978,Paris,THE CHAINSMOKERS,https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg
3857,Issues,JULIA MICHAELS,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
3805,T-Shirt,MIGOS,https://open.spotify.com/track/2HgGPga67UQXWW2JLuYE6E
4079,Not Afraid Anymore,HALSEY,https://open.spotify.com/track/57IT5XRc5ImuTqxwrFZFdd
4081,No Reason,"BONOBO, NICK MURPHY",https://open.spotify.com/track/3aWPdd6U1xbsIEGEpUaPyQ
4052,Repeat,"ALLAN RAYMAN, JESSIE REYEZ",https://open.spotify.com/track/2eIL9b2YyVTRxElEK68Tjs
4053,Feeling Alive,EARL ST. CLAIR,https://open.spotify.com/track/33OEsXORoBqTp14FwhRckM
4060,Back For Me,ELECTRIC GUEST,https://open.spotify.com/track/18yUjxDE4lJlYzDYYtEJhX
4064,I Just Wanna,BIG WILD,https://open.spotify.com/track/4tPrsy2AujIOUxYd6ITOIz
4360,Down,MARIAN HILL,https://open.spotify.com/track/5eCkuGPZNl4mISFNPgr3Dd
4363,Drew Barrymore,SZA,https://open.spotify.com/track/4Ni8k94lpdC6gzjXtUdzVw
4466,I Miss You,"GREY, BAHARI",https://open.spotify.com/track/4ANIyqDu9QunO1w6DqCDTJ
4601,Saved,KHALID,https://open.spotify.com/track/6Hf1P9AHMH3ngy73RVAUdm
5604,Moving On and Getting Over,JOHN MAYER,https://open.spotify.com/track/1CdEcheLJU6SgxnbFEj2WX
5605,On + Off,MAGGIE ROGERS,https://open.spotify.com/track/4JTbXALrXVYabZKZ9gr8M7
5529,You're Gonna Live Forever in Me,JOHN MAYER,https://open.spotify.com/track/2uuupTirBvf7iQ8mWN7v1O
5573,Changing,JOHN MAYER,https://open.spotify.com/track/0GWS6wkQrqZd0BAhq28haq
5578,Sooner Or Later,AARON CARTER,https://open.spotify.com/track/4mqvE5F95nKSUrUvUH3YB7
5857,Nevermind,DENNIS LLOYD,https://open.spotify.com/track/3PHjgrovCBjQQl5Np5YQBy
5859,Electric (feat. Khalid),ALINA BARAZ,https://open.spotify.com/track/25wBlLDFcspzo9gBqvrQr3
5849,I Give You Power,"ARCADE FIRE, MAVIS STAPLES",https://open.spotify.com/track/7aIjefMJSpmNVivRcS1unF
5765,Running Back (feat. Lil Wayne),WALE,https://open.spotify.com/track/4mAhZaSrcVD6cJWA6IqFrk
5837,Finessin The Rhythm,"FOREVER ANTI POP, DAVID SABASTIAN",https://open.spotify.com/track/7LEZF2s3iV1mmfJbPGZ4mb
6535,Straight Up,C5,https://open.spotify.com/track/4tOv1hyYZes16iYSj2qSCw
7523,Keep Running,TEI SHI,https://open.spotify.com/track/5k42EV7nhmL2CrfX4z2CKe
7524,Sunday Finest,SIR ROSEVELT,https://open.spotify.com/track/7q06iElZYviXEQ7tw0o4SN
7783,PRBLMS,6LACK,https://open.spotify.com/track/2wf9bp4MkChojtljddWpbO
8132,Show You The Way,"THUNDERCAT, MICHAEL MCDONALD, KENNY LOGGINS",https://open.spotify.com/track/6LzsF8g3MnyspvcPvlBcC3
8067,Believer,IMAGINE DRAGONS,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
9139,Believer,IMAGINE DRAGONS,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
9132,No Favors,"BIG SEAN, EMINEM",https://open.spotify.com/track/04h2uFDF3Ewr7orA6EDbQ3
9112,Shot Down,KHALID,https://open.spotify.com/track/58nciIyr5vKpUJkUXXkxCq
9396,(No One Knows Me) Like the Piano,SAMPHA,https://open.spotify.com/track/5zOnoB8FdZudDcPX4O8WqF
9400,Thief,ANSEL ELGORT,https://open.spotify.com/track/3BtA1koBtnClfirgg4BpjI
9429,Love Is Mystical,COLD WAR KIDS,https://open.spotify.com/track/4RJnzmVL12aIuWpMoXu2u4
9436,Body,SYD,https://open.spotify.com/track/0IaiJbZebXLqfetAkMEZzU
9328,Lions,SKIP MARLEY,https://open.spotify.com/track/6LvVVRxgcgeQ6uzyk375LI
9759,My Old Man,MAC DEMARCO,https://open.spotify.com/track/2bbWBkiq2vH4Y7pjE0qYcW
10963,Chained To The Rhythm,"KATY PERRY, SKIP MARLEY",https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
10965,Don't Kill My Vibe,SIGRID,https://open.spotify.com/track/3irNpONYOfunwlUdj3WARO
11796,Mask Off,FUTURE,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
12479,All On Me,DEVIN DAWSON,https://open.spotify.com/track/2Nc8Imt04W3ZmcBF8dPQKc
12483,How Would You Feel (Paean),ED SHEERAN,https://open.spotify.com/track/1lyNFzcCl9kXCof6GV32fV
12487,Heavy (feat. Kiiara),LINKIN PARK,https://open.spotify.com/track/32bqxZEJRJObeNyc8bEiPt
12490,Some Way,"NAV, THE WEEKND",https://open.spotify.com/track/0bGVqUPZZ2owtWEyzIggQI
12953,Nobody Else but You,TREY SONGZ,https://open.spotify.com/track/2slbJay1LPdOafYYCTe5Ss
12944,Machine,MISTERWIVES,https://open.spotify.com/track/4HMNnAMODzVR2Hti9z98OA
12924,Love Incredible (feat. Camila Cabello),CASHMERE CAT,https://open.spotify.com/track/5f3FQBNEyJBquykRZwQITm
12928,Suit And Jacket,JUDAH & THE LION,https://open.spotify.com/track/4SZqm48naZc6gACcw8ql0y
12930,High,LITTLE DRAGON,https://open.spotify.com/track/0UREuyMot9zc8aIuKDBvgk
12932,Friend Zone,THUNDERCAT,https://open.spotify.com/track/1wkeAltJoidYXxaXOQZB6M
12934,Nimble Bastard,INCUBUS,https://open.spotify.com/track/7we5iykuJBQKIBaRrsEjYT
13232,Used to This (feat. Drake),FUTURE,https://open.spotify.com/track/3V8sM5OOG6YfDuDLa2IIYJ
13300,Good Drank,"2 CHAINZ, GUCCI MANE, QUAVO",https://open.spotify.com/track/6aRlUgqcLgrxQE3RMngjN5
14263,Walk On By,"THUNDERCAT, KENDRICK LAMAR",https://open.spotify.com/track/7dvJwMrZ9OrgCjHvJWgMZB
14270,Still Feel Like Your Man,JOHN MAYER,https://open.spotify.com/track/3pdWCmUno1bWzYIdYwoiMM
14252,Stay,"ZEDD, ALESSIA CARA",https://open.spotify.com/track/6uBhi9gBXWjanegOb2Phh0
14230,A Fan's Mail (Tron Song Suite II),THUNDERCAT,https://open.spotify.com/track/4GyhoQHj94hFdKIixRNhEQ
14240,Helpless,JOHN MAYER,https://open.spotify.com/track/3ooKsUCAz3EgEjZAPRwtCm
14241,Good Day (feat. DJ Snake & Elliphant),YELLOW CLAW,https://open.spotify.com/track/1VoLowJmACjY7SNDENKVIC
14245,Tokyo,THUNDERCAT,https://open.spotify.com/track/44Kjgiyeib627UOEqW0oss
14250,Something Just Like This,"THE CHAINSMOKERS, COLDPLAY",https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH
14707,American Teen,KHALID,https://open.spotify.com/track/16mOynxbHDGdGWKErK5LO5
14560,Friend Zone,THUNDERCAT,https://open.spotify.com/track/2KvLsBXs4pOPjnxiifsQX7
