title,url,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
All Time Low,https://open.spotify.com/track/5wQRNkb7OhzJoT1P0OZ4Rw,JON BELLION,0.672,0.386,0,-9.715,1,0.264,0.389,0.0,0.0838,0.529,90.082,221333,4
I Knew You Were Waiting (For Me),https://open.spotify.com/track/0f6pHbsLzpWxl5CfhOUjBA,"GEORGE MICHAEL, ARETHA FRANKLIN",0.71,0.639,4,-12.839,1,0.045,0.23,0.0,0.172,0.733,107.947,241000,4
Careless Whisper,https://open.spotify.com/track/6KsgCYcZKPcBRDNGhiZWRR,GEORGE MICHAEL,0.567,0.32,2,-18.386,0,0.036,0.345,2.51e-06,0.316,0.529,76.58,392267,4
Moves,https://open.spotify.com/track/6Kd4EPrY9A4WBUFy5JaqEc,BIG SEAN,0.808,0.534,2,-6.123,1,0.283,0.0417,0.0,0.136,0.354,75.5,142920,4
Bad and Boujee (feat. Lil Uzi Vert),https://open.spotify.com/track/1FvU97lrWOG2NRxErh6OZz,MIGOS,0.897,0.661,8,-6.2,0,0.27,0.0633,0.0,0.116,0.193,127.081,334467,4
Romantic - NOTD Remix,https://open.spotify.com/track/1pvgpkMqtQyOGePdYOTt9U,STANAJ,0.748,0.653,8,-7.975,0,0.219,0.209,0.0,0.237,0.394,104.008,184813,4
Caroline,https://open.spotify.com/track/5hTpBe8h35rJ67eAWHQsJx,AMINÉ,0.94,0.335,5,-10.179,0,0.505,0.17,0.0,0.262,0.707,120.04,209640,4
Romantic - NOTD Remix,https://open.spotify.com/track/2yNM18IhYDt3UWcKtHNIMZ,STANAJ,0.749,0.647,8,-7.968,0,0.196,0.237,0.0,0.236,0.355,104.015,184813,4
Rooting For You,https://open.spotify.com/track/5MHmD8cfTbudNLTWYA5QHJ,LONDON GRAMMAR,0.333,0.262,2,-7.551,1,0.0361,0.915,1.31e-06,0.0889,0.156,106.216,269566,4
Lot to Learn,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW,LUKE CHRISTOPHER,0.405,0.846,6,-3.57,1,0.195,0.0948,0.0,0.0666,0.602,82.232,248337,4
All Night,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,"THE VAMPS, MATOMA",0.563,0.775,8,-6.433,1,0.0366,0.00251,0.0,0.326,0.458,144.945,197793,4
Caroline,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g,AMINÉ,0.945,0.394,10,-8.571,1,0.492,0.303,0.0,0.131,0.743,120.058,209747,4
Now and Later,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd,SAGE THE GEMINI,0.781,0.57,11,-5.874,0,0.188,0.273,0.0,0.196,0.858,107.059,193181,4
Light,https://open.spotify.com/track/74Ru27B7Jx8mBt5MGvGLLv,SAN HOLO,0.572,0.754,1,-4.148,1,0.0564,0.0949,1.86e-06,0.0985,0.423,150.068,240500,4
